"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем несколько постов с разными ожиданиями","19","test_multiple_posts_content[3-ea molestias]","tests.api_tests","2026-03-17","passed","2026-03-17","","test_api_parametrs","",""
"Проверяем несколько постов с разными ожиданиями","55","test_multiple_posts_content[1-sunt]","tests.api_tests","2026-03-17","passed","2026-03-17","","test_api_parametrs","",""
"Параметризованная проверка входа с разными пользователями","395","Параметризованная проверка различных пользователей","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Проверяем несколько постов с разными ожиданиями","21","test_multiple_posts_content[2-qui]","tests.api_tests","2026-03-17","passed","2026-03-17","","test_api_parametrs","",""
"Проверка, что поля очищаются после ввода неверных данных","786","Проверка полей ввода после ошибки","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Проверка добавления товара в корзину","707","Добавление товара в корзину","tests.ui_test","2026-03-17","passed","2026-03-17","TestCart","test_cart","",""
"Параметризованная проверка входа с разными пользователями","5413","Параметризованная проверка различных пользователей","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Демонстрация работы с разными HTTP статусами","2511","test_different_response_codes","tests.api_tests","2026-03-17","passed","2026-03-17","","test_api","",""
"Параметризованная проверка входа с разными пользователями","353","Параметризованная проверка различных пользователей","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Проверка добавления нескольких товаров","569","Добавление нескольких товаров в корзину","tests.ui_test","2026-03-17","passed","2026-03-17","TestCart","test_cart","",""
"Проверка, что корзина сохраняется после выхода и повторного входа","1321","Проверка сохранения товаров в корзине после выхода","tests.ui_test","2026-03-17","passed","2026-03-17","TestCart","test_cart","",""
"Проверка входа с корректными учетными данными","400","Успешный вход с валидными учетными данными","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Проверка входа с заблокированным пользователем","368","Проверка входа с заблокированным пользователем","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Параметризованная проверка входа с разными пользователями","393","Параметризованная проверка различных пользователей","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
"Параметризованная проверка входа с разными пользователями","382","Параметризованная проверка различных пользователей","tests.ui_test","2026-03-17","passed","2026-03-17","TestLogin","test_login","",""
